thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp_2.started,welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
38,0,38,down,1,1.576512300001923,None,-4,38,0,38,0,64.0404309000005,,,,,,,,,64.02533280000353,64.0404309000005,64.0404309000005,65.03963570000633,65.6239299000008,down,1,1.576512300001923,None,-4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
39,0,39,up,1,1.7007622999954037,None,0,39,0,39,0,65.63905879999948,,,,,,,,,65.6243750000067,65.63905879999948,65.63905879999948,66.65482380000321,67.3557110000038,up,1,1.7007622999954037,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
40,0,40,down,1,1.5464517000000342,None,-4,40,0,40,0,67.37077390000195,,,,,,,,,67.35617930000444,67.37077390000195,67.37077390000195,68.36992530000134,68.92080440000427,down,1,1.5464517000000342,None,-4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
41,0,41,up,1,1.5830855000021984,None,0,41,0,41,0,68.93607630000042,,,,,,,,,68.92116970000643,68.93607630000042,68.93607630000042,69.9353906000033,70.53579870000249,up,1,1.5830855000021984,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
42,0,42,down,1,1.4461681000029785,None,1,42,0,42,0,70.55131690000417,,,,,,,,,70.53613600000244,70.55131690000417,70.55131690000417,71.55049370000052,72.00144460000593,down,1,1.4461681000029785,None,1,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
43,0,43,down,1,1.5144144000005326,None,3,43,0,43,0,72.0166251000046,,,,,,,,,72.00186250000115,72.0166251000046,72.0166251000046,73.01608570000099,73.53360910000629,down,1,1.5144144000005326,None,3,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
44,0,44,down,1,1.5822399000026053,None,1,44,0,44,0,73.54863060000207,,,,,,,,,73.53404550000414,73.54863060000207,73.54863060000207,74.54802980000386,75.13278920000448,down,1,1.5822399000026053,None,1,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
45,0,45,down,1,1.4248479000016232,None,1,45,0,45,0,75.14736220000486,,,,,,,,,75.13331140000082,75.14736220000486,75.14736220000486,76.14662189999945,76.58064900000318,down,1,1.4248479000016232,None,1,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
46,0,46,down,1,1.5667554999963613,None,1,46,0,46,0,76.5961255000002,,,,,,,,,76.58102070000314,76.5961255000002,76.5961255000002,77.59537300000375,78.17934130000504,down,1,1.5667554999963613,None,1,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
47,0,47,down,1,1.4199727999948664,None,4,47,0,47,0,78.1946120000066,,,,,,,,,78.17974760000652,78.1946120000066,78.1946120000066,79.1941141999996,79.62789820000035,down,1,1.4199727999948664,None,4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
48,0,48,up,0,1.5122769000008702,None,-2,48,0,48,0,79.64347760000237,,,,,,,,,79.62827649999963,79.64347760000237,79.64347760000237,80.64270060000126,81.16016740000487,up,0,1.5122769000008702,None,-2,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
49,0,49,up,1,1.4910990999997011,None,0,49,0,49,0,81.1755145000061,,,,,,,,,81.160526700005,81.1755145000061,81.1755145000061,82.1745485000065,82.67520800000057,up,1,1.4910990999997011,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
