thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
98,0,98,[0.23981481481481481],[0.3574074074074074],[1],[0],[0],[1.1241347000468522],['target'],98,0,98,0,164.0198227999499,,5,164.00788299995475,164.0198227999499,164.0198227999499,0.023034300073049963,165.13258059998043,[0.23981481481481481],[0.3574074074074074],[1],[0],[0],[1.1241347000468522],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
99,0,99,[0.000925925925925926],[-0.125],[1],[0],[0],[1.1940015000291169],['target'],99,0,99,0,165.1654655999737,,5,165.15398830000777,165.1654655999737,165.1654655999737,0.02117530000396073,166.34854069992434,[0.000925925925925926],[-0.125],[1],[0],[0],[1.1940015000291169],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
100,0,100,[-0.09907407407407408],[0.3888888888888889],[1],[0],[0],[4.55462810001336],['target'],100,0,100,0,166.40812349994667,,10,166.38927949999925,166.40812349994667,166.40812349994667,0.04058069991879165,170.94441220001318,[-0.09907407407407408],[0.3888888888888889],[1],[0],[0],[4.55462810001336],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
101,0,101,[0.14166666666666666],[-0.000925925925925926],[1],[0],[0],[1.4279565999750048],['target'],101,0,101,0,170.97583899996243,,5,170.96464210003614,170.97583899996243,170.97583899996243,0.019857399980537593,172.39309030002914,[0.14166666666666666],[-0.000925925925925926],[1],[0],[0],[1.4279565999750048],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
102,0,102,[-0.44722222222222224],[0.41759259259259257],[1],[0],[0],[5.87051589996554],['target'],102,0,102,0,172.45219350000843,,10,172.4335460999282,172.45219350000843,172.45219350000843,0.0402965999674052,178.3046614000341,[-0.44722222222222224],[0.41759259259259257],[1],[0],[0],[5.87051589996554],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
103,0,103,[0.4638888888888889],[-0.4212962962962963],[1],[0],[0],[2.0220332000171766],['target'],103,0,103,0,178.3671367999632,,10,178.34706359996926,178.3671367999632,178.3671367999632,0.04215059999842197,180.369551199954,[0.4638888888888889],[-0.4212962962962963],[1],[0],[0],[2.0220332000171766],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
104,0,104,[-0.3527777777777778],[0.3416666666666667],[1],[0],[0],[1.374978099949658],['target'],104,0,104,0,180.4291927999584,,10,180.40994319994934,180.4291927999584,180.4291927999584,0.04012380004860461,181.78541200002655,[-0.3527777777777778],[0.3416666666666667],[1],[0],[0],[1.374978099949658],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
105,0,105,[0.47129629629629627],[-0.39444444444444443],[1],[0],[0],[2.7077903000172228],['target'],105,0,105,0,181.8429044999648,,10,181.824600599939,181.8429044999648,181.8429044999648,0.038925500004552305,184.5328870000085,[0.47129629629629627],[-0.39444444444444443],[1],[0],[0],[2.7077903000172228],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
106,0,106,[-0.4703703703703704],[0.35462962962962963],[1],[0],[0],[1.806442700093612],['target'],106,0,106,0,184.59344450000208,,10,184.57419900002424,184.59344450000208,184.59344450000208,0.041053200024180114,186.3811113999691,[-0.4703703703703704],[0.35462962962962963],[1],[0],[0],[1.806442700093612],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
107,0,107,[0.49907407407407406],[-0.1398148148148148],[1],[0],[0],[1.8603590000420809],['target'],107,0,107,0,186.41420140000992,,5,186.401884199935,186.41420140000992,186.41420140000992,0.020538600045256317,188.26279900001828,[0.49907407407407406],[-0.1398148148148148],[1],[0],[0],[1.8603590000420809],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
108,0,108,[0.31666666666666665],[-0.23148148148148148],[1],[0],[0],[2.760300699970685],['target'],108,0,108,0,188.2943255000282,,5,188.2824646999361,188.2943255000282,188.2943255000282,0.019525000010617077,191.04327799996827,[0.31666666666666665],[-0.23148148148148148],[1],[0],[0],[2.760300699970685],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
109,0,109,[0.3638888888888889],[0.21481481481481482],[1],[0],[0],[1.2062741999980062],['target'],109,0,109,0,191.1047869999893,,10,191.08542499993928,191.1047869999893,191.1047869999893,0.04197120002936572,192.2922225999646,[0.3638888888888889],[0.21481481481481482],[1],[0],[0],[1.2062741999980062],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
110,0,110,[-0.20925925925925926],[-0.03518518518518519],[1],[0],[0],[1.312547600013204],['target'],110,0,110,0,192.3237696000142,,5,192.31208770000376,192.3237696000142,192.3237696000142,0.019670099951326847,193.6251850000117,[-0.20925925925925926],[-0.03518518518518519],[1],[0],[0],[1.312547600013204],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
