pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,sequential.thisRepN,sequential.thisTrialN,sequential.thisN,sequential.thisIndex,fullRandom.thisRepN,fullRandom.thisTrialN,fullRandom.thisN,fullRandom.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,sequential.key_resp.keys,sequential.key_resp.corr,sequential.key_resp.rt,sequential.key_resp.duration,fullRandom.key_resp.keys,fullRandom.key_resp.corr,fullRandom.key_resp.rt,fullRandom.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,26,2,6,c,1,0.46435409993864596,None,6,2,26,2,,,,,65.59912659996189,,65.58421289990656,65.59912659996189,66.59807029995136,66.59807029995136,66.59807029995136,66.59807029995136,66.61463559989352,67.5972626999719,67.5972626999719,68.06531029997859,c,1,0.46435409993864596,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-150,z,27,3,6,z,1,0.3870034998981282,None,6,3,27,3,,,,,68.08025629993062,,68.06579679995775,68.08025629993062,69.0793259999482,69.0793259999482,69.0793259999482,69.0793259999482,69.0793259999482,70.0785272999201,70.0785272999201,70.47945729992352,z,1,0.3870034998981282,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-50,x,28,0,7,x,1,0.38239039992913604,None,7,0,28,0,,,,,70.49492149997968,,70.47988749993965,70.49492149997968,71.4938735999167,71.4938735999167,71.4938735999167,71.4938735999167,71.4938735999167,72.49311509996187,72.49311509996187,72.87742949998938,x,1,0.38239039992913604,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,29,1,7,v,1,0.43453919992316514,None,7,1,29,1,,,,,72.89261159999296,,72.8778081999626,72.89261159999296,73.89176679996308,73.89176679996308,73.89176679996308,73.89176679996308,73.89176679996308,74.89110019989312,74.89110019989312,75.34176819992717,v,1,0.43453919992316514,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
50,c,30,2,7,c,1,0.48125599999912083,None,7,2,30,2,,,,,75.35729909990914,,75.34220009995624,75.35729909990914,76.35636179998983,76.35636179998983,76.35636179998983,76.35636179998983,76.35636179998983,77.35544319998007,77.35544319998007,77.83958419994451,c,1,0.48125599999912083,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-150,z,31,3,7,z,1,0.3901072000153363,None,7,3,31,3,,,,,77.85497389989905,,77.83997139998246,77.85497389989905,78.8541975999251,78.8541975999251,78.8541975999251,78.8541975999251,78.8541975999251,79.85342689999379,79.85342689999379,80.2547726999037,z,1,0.3901072000153363,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-50,x,32,0,8,x,1,0.3923172999639064,None,8,0,32,0,,,,,80.26973559998441,,80.25537519995123,80.26973559998441,81.26890059991274,81.26890059991274,81.26890059991274,81.26890059991274,81.28539459989406,82.26795469992794,82.26795469992794,82.6686095999321,x,1,0.3923172999639064,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,33,1,8,v,1,0.45391689997632056,None,8,1,33,1,,,,,82.68416979990434,,82.66898819990456,82.68416979990434,83.68330509995576,83.68330509995576,83.68330509995576,83.68330509995576,83.68330509995576,84.68238969997037,84.68238969997037,85.15017009992152,v,1,0.45391689997632056,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
50,c,34,2,8,c,1,0.5469552000286058,None,8,2,34,2,,,,,85.16539049998391,,85.15066789998673,85.16539049998391,86.1644422999816,86.1644422999816,86.1644422999816,86.1644422999816,86.1644422999816,87.16364699997939,87.16364699997939,87.71492359996773,c,1,0.5469552000286058,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-150,z,35,3,8,z,1,0.41031250008381903,None,8,3,35,3,,,,,87.72997109999415,,87.7155083999969,87.72997109999415,88.7290371999843,88.7290371999843,88.7290371999843,88.7290371999843,88.74563029990532,89.72817949997261,89.72817949997261,90.1464152999688,z,1,0.41031250008381903,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-50,x,36,0,9,x,1,0.3131590000120923,None,9,0,36,0,,,,,90.16101719997823,,90.14707619999535,90.16101719997823,91.16003249993082,91.16003249993082,91.16003249993082,91.16003249993082,91.16003249993082,92.15924529999029,92.15924529999029,92.4776555999415,x,1,0.3131590000120923,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,37,1,9,v,1,0.45246300008147955,None,9,1,37,1,,,,,92.49243409989867,,92.47830829990562,92.49243409989867,93.49150429992005,93.49150429992005,93.49150429992005,93.49150429992005,93.50817539996933,94.49076409998816,94.49076409998816,94.95860289991833,v,1,0.45246300008147955,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
50,c,38,2,9,c,1,0.5265340999467298,None,9,2,38,2,,,,,94.97351899999194,,94.95919189997949,94.97351899999194,95.97248249989934,95.97248249989934,95.97248249989934,95.97248249989934,95.97248249989934,96.97169449995272,96.97169449995272,97.50567089999095,c,1,0.5265340999467298,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-150,z,39,3,9,z,1,0.4239977999823168,None,9,3,39,3,,,,,97.52115459996276,,97.50605639989953,97.52115459996276,98.52043679996859,98.52043679996859,98.52043679996859,98.52043679996859,98.52043679996859,99.51964849990327,99.51964849990327,99.9544369999785,z,1,0.4239977999823168,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-50,x,40,0,10,x,1,0.43139879999216646,None,10,0,40,0,,,,,99.96914850000758,,99.95501919998787,99.96914850000758,100.96822219993919,100.96822219993919,100.96822219993919,100.96822219993919,100.96822219993919,101.96737719990779,101.96737719990779,102.40225859999191,x,1,0.43139879999216646,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,41,1,10,v,1,0.40859710006043315,None,10,1,41,1,,,,,102.41698429989628,,102.40283959999215,102.41698429989628,103.41613859997597,103.41613859997597,103.41613859997597,103.41613859997597,103.41613859997597,104.41523279994726,104.41523279994726,104.83335679990705,v,1,0.40859710006043315,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
50,c,42,2,10,c,1,0.3990113000618294,None,10,2,42,2,,,,,104.8482015999034,,104.83393929991871,104.8482015999034,105.84730309993029,105.84730309993029,105.84730309993029,105.84730309993029,105.84730309993029,106.84639129997231,106.84639129997231,107.24735489999875,c,1,0.3990113000618294,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-150,z,43,3,10,z,1,0.3464456000365317,None,10,3,43,3,,,,,107.2627005999675,,107.24778079998214,107.2627005999675,108.26192659989465,108.26192659989465,108.26192659989465,108.26192659989465,108.26192659989465,109.26094740000553,109.26094740000553,109.61284499999601,z,1,0.3464456000365317,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-50,x,44,0,11,x,1,0.4390912998933345,None,11,0,44,0,,,,,109.6274487999035,,109.61342059995513,109.6274487999035,110.6266040999908,110.6266040999908,110.6266040999908,110.6266040999908,110.6266040999908,111.6256563999923,111.6256563999923,112.07680979999714,x,1,0.4390912998933345,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,45,1,11,v,1,0.35083750006742775,None,11,1,45,1,,,,,112.09181519993581,,112.07735979999416,112.09181519993581,113.09096629999112,113.09096629999112,113.09096629999112,113.09096629999112,113.09096629999112,114.09011489991099,114.09011489991099,114.45815919991583,v,1,0.35083750006742775,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
50,c,46,2,11,c,1,0.3265990000218153,None,11,2,46,2,,,,,114.47332349990029,,114.45875389990397,114.47332349990029,115.47231899993494,115.47231899993494,115.47231899993494,115.47231899993494,115.47231899993494,116.47150949994102,116.47150949994102,116.80592999991495,c,1,0.3265990000218153,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-150,z,47,3,11,z,1,0.29887800000142306,None,11,3,47,3,,,,,116.82105569995474,,116.80661759991199,116.82105569995474,117.82013099989854,117.82013099989854,117.82013099989854,117.82013099989854,117.82013099989854,118.81927919993177,118.81927919993177,119.12045749998651,z,1,0.29887800000142306,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-50,x,48,0,12,x,1,0.2818834000499919,None,12,0,48,0,,,,,119.13559029996395,,119.12094089994207,119.13559029996395,120.13487109995913,120.13487109995913,120.13487109995913,120.13487109995913,120.13487109995913,121.13406359998044,121.13406359998044,121.41892979992554,x,1,0.2818834000499919,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
