pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,sequential.thisRepN,sequential.thisTrialN,sequential.thisN,sequential.thisIndex,fullRandom.thisRepN,fullRandom.thisTrialN,fullRandom.thisN,fullRandom.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,sequential.key_resp.keys,sequential.key_resp.corr,sequential.key_resp.rt,sequential.key_resp.duration,fullRandom.key_resp.keys,fullRandom.key_resp.corr,fullRandom.key_resp.rt,fullRandom.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,49,1,12,v,1,0.3321010998915881,None,12,1,49,1,,,,,126.90421309997328,,126.88981999992393,126.90421309997328,127.90357779990882,127.90357779990882,127.90357779990882,127.90357779990882,127.90357779990882,128.9027232999215,128.9027232999215,129.23787649988662,v,1,0.3321010998915881,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
50,c,50,2,12,c,1,0.47950949997175485,None,12,2,50,2,,,,,129.2526749999961,,129.23845969990361,129.2526749999961,130.25196639995556,130.25196639995556,130.25196639995556,130.25196639995556,130.25196639995556,131.25121639994904,131.25121639994904,131.73574099992402,c,1,0.47950949997175485,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-150,z,51,3,12,z,1,0.4263769000535831,None,12,3,51,3,,,,,131.7507458999753,,131.73632259992883,131.7507458999753,132.74970409995876,132.74970409995876,132.74970409995876,132.74970409995876,132.74970409995876,133.7491099999752,133.7491099999752,134.1836591999745,z,1,0.4263769000535831,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-50,x,52,0,13,x,1,0.3653348999796435,None,13,0,52,0,,,,,134.19848789996468,,134.18424709991086,134.19848789996468,135.19767549994867,135.19767549994867,135.19767549994867,135.19767549994867,135.19767549994867,136.19690729991999,136.19690729991999,136.5650478999596,x,1,0.3653348999796435,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
150,v,53,1,13,v,1,0.3543618000112474,None,13,1,53,1,,,,,136.57983549998607,,136.56564079993404,136.57983549998607,137.579124199925,137.579124199925,137.579124199925,137.579124199925,137.579124199925,138.57801489997655,138.57801489997655,138.9461887999205,v,1,0.3543618000112474,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
50,c,54,2,13,c,1,0.31276740005705506,None,13,2,54,2,,,,,138.9611560999183,,138.9467843999155,138.9611560999183,139.96014389989432,139.96014389989432,139.96014389989432,139.96014389989432,139.96014389989432,140.95940309995785,140.95940309995785,141.27740899997298,c,1,0.31276740005705506,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-150,z,55,3,13,x,0,0.5151118999347091,None,13,3,55,3,,,,,141.29245709988754,,141.2781488999026,141.29245709988754,142.30831779993605,142.29149409988895,142.29149409988895,142.29149409988895,142.29149409988895,143.29073579993565,143.29073579993565,143.808857099968,x,0,0.5151118999347091,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-50,x,56,0,14,x,1,0.49016179994214326,None,14,0,56,0,,,,,143.8236186999129,,143.80948509997688,143.8236186999129,144.82272129994817,144.82272129994817,144.82272129994817,144.82272129994817,144.82272129994817,145.82183229993097,145.82183229993097,146.32301969989203,x,1,0.49016179994214326,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
150,v,57,1,14,v,1,0.34406659996602684,None,14,1,57,1,,,,,146.3380069999257,,146.32367239997257,146.3380069999257,147.33705119998194,147.33705119998194,147.33705119998194,147.33705119998194,147.33705119998194,148.3361917999573,148.3361917999573,148.68778629996814,v,1,0.34406659996602684,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
50,c,58,2,14,c,1,0.40211409993935376,None,14,2,58,2,,,,,148.70251279999502,,148.6883723998908,148.70251279999502,149.70165709999856,149.70165709999856,149.70165709999856,149.70165709999856,149.70165709999856,150.70080539991613,150.70080539991613,151.11903229996096,c,1,0.40211409993935376,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-150,z,59,3,14,z,1,0.3395429999800399,None,14,3,59,3,,,,,151.13373289990705,,151.11966509988997,151.13373289990705,152.13296349998564,152.13296349998564,152.13296349998564,152.13296349998564,152.13296349998564,153.13222859997768,153.13222859997768,153.48391679988708,z,1,0.3395429999800399,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-50,x,60,0,15,x,1,0.41587729996535927,None,15,0,60,0,,,,,153.49845259997528,,153.48450259992387,153.49845259997528,154.49759609997272,154.49759609997272,154.49759609997272,154.49759609997272,154.49759609997272,155.49670569994487,155.49670569994487,155.9152574999025,x,1,0.41587729996535927,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
150,v,61,1,15,v,1,0.40610250004101545,None,15,1,61,1,,,,,155.92975169990677,,155.91583069995977,155.92975169990677,156.9455289999023,156.92869049997535,156.92869049997535,156.92869049997535,156.92869049997535,157.92785069998354,157.92785069998354,158.3459069998935,v,1,0.40610250004101545,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
50,c,62,2,15,c,1,0.37808339996263385,None,15,2,62,2,,,,,158.36099839990493,,158.34650389989838,158.36099839990493,159.37669609999284,159.35999959998298,159.35999959998298,159.35999959998298,159.35999959998298,160.35905549989548,160.35905549989548,160.7439651999157,c,1,0.37808339996263385,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-150,z,63,3,15,z,1,0.5561378999846056,None,15,3,63,3,,,,,160.75865249999333,,160.744529999909,160.75865249999333,161.75781719991937,161.75781719991937,161.75781719991937,161.75781719991937,161.75781719991937,162.7569974999642,162.7569974999642,163.32490139990114,z,1,0.5561378999846056,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-50,x,64,0,16,x,1,0.6085856000427157,None,16,0,64,0,,,,,163.33990149991587,,163.32548889995087,163.33990149991587,164.33911479997914,164.33911479997914,164.33911479997914,164.33911479997914,164.33911479997914,165.33827239996754,165.33827239996754,165.95595659990795,x,1,0.6085856000427157,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
150,v,65,1,16,v,1,0.590573100023903,None,16,1,65,1,,,,,165.97084069997072,,165.9566071999725,165.97084069997072,166.9699286998948,166.9699286998948,166.9699286998948,166.9699286998948,166.9699286998948,167.9690593999112,167.9690593999112,168.57063189998735,v,1,0.590573100023903,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
50,c,66,2,16,c,1,0.529782300000079,None,16,2,66,2,,,,,168.5854191998951,,168.57125869998708,168.5854191998951,169.6009914999595,169.58431679999921,169.58431679999921,169.58431679999921,169.58431679999921,170.58349359990098,170.58349359990098,171.11836309998762,c,1,0.529782300000079,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-150,z,67,3,16,z,1,0.648608100018464,None,16,3,67,3,,,,,171.13311269995756,,171.11899199988693,171.13311269995756,172.1489031999372,172.13206239999272,172.13206239999272,172.13206239999272,172.13206239999272,173.13131669990253,173.13131669990253,173.78244609991089,z,1,0.648608100018464,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-50,x,68,0,17,x,1,0.5707909000338987,None,17,0,68,0,,,,,173.79750749992672,,173.78301079990342,173.79750749992672,174.81308979995083,174.79663679993246,174.79663679993246,174.79663679993246,174.79663679993246,175.79560019995552,175.79560019995552,176.38014079991262,x,1,0.5707909000338987,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
150,v,69,1,17,v,1,0.5766802000580356,None,17,1,69,1,,,,,176.39497619995382,,176.3806194999488,176.39497619995382,177.39422659995034,177.39422659995034,177.39422659995034,177.39422659995034,177.39422659995034,178.39329249993898,178.39329249993898,178.97763389989268,v,1,0.5766802000580356,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
50,c,70,2,17,c,1,0.4881703000282869,None,17,2,70,2,,,,,178.9928570999764,,178.97815409989562,178.9928570999764,179.99196749995463,179.99196749995463,179.99196749995463,179.99196749995463,179.99196749995463,180.9910011999309,180.9910011999309,181.49249649990816,c,1,0.4881703000282869,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
